pfaf_id,FID,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score,Resilience_Index, NormalizedLackofResilience ,Alert,Flag
742649,13902.0,8966.111165,USA,United States,Kentucky,1.340092711,0.0,0.77,0.32,Information,
742650,13903.0,8298.36401,USA,United States,Illinois,1.590629117,0.0,0.77,0.32,Information,
742663,13906.0,4862.919137,USA,United States,Indiana,0.470606151,0.0,0.77,0.32,Information,
742664,13907.0,29181.5795,USA,United States,Indiana,0.660577877,0.0,0.77,0.32,Information,
742667,13910.0,19356.82315,USA,United States,Indiana,0.494818652,0.0,0.77,0.32,,
742668,13911.0,5078.324021,USA,United States,Indiana,0.970699296,0.0,0.77,0.32,Information,
742669,13912.0,11544.02893,USA,United States,Indiana,1.062299809,0.0,0.77,0.32,Information,
742671,13913.0,2578.136216,USA,United States,Indiana,0.180467581,0.0,0.77,0.32,Information,
742673,13915.0,19540.76958,USA,United States,Kentucky,0.383436259,0.0,0.77,0.32,Information,
742674,13916.0,18109.57382,USA,United States,Kentucky,0.327248791,0.0,0.77,0.32,Information,
742675,13917.0,2916.417781,USA,United States,Indiana,1.091174626,0.0,0.77,0.32,Information,
742676,13918.0,13930.39681,USA,United States,Ohio,0.672750337,0.0,0.77,0.32,Information,
742677,13919.0,20352.15919,USA,United States,Kentucky,0.539747927,0.0,0.77,0.32,Information,
742678,13920.0,17080.69527,USA,United States,Ohio,0.106682103,0.0,0.77,0.32,Information,
742679,13921.0,24914.62392,USA,United States,West Virginia,1.773193265,0.0,0.77,0.32,Information,
742681,13923.0,2136.552296,USA,United States,West Virginia,1.870153172,0.0,0.77,0.32,Information,
742684,13926.0,4001.218555,USA,United States,West Virginia,2.991538791,0.0,0.77,0.32,Information,
742685,13927.0,1359.017153,USA,United States,West Virginia,3.297108842,0.0,0.77,0.32,Information,
742691,13932.0,6621.770653,USA,United States,Ohio,1.016721634,0.0,0.77,0.32,Information,
742693,13934.0,148.126047,USA,United States,West Virginia,2.045496101,0.0,0.77,0.32,Information,
742694,13935.0,20640.78817,USA,United States,Ohio,0.327843976,0.0,0.77,0.32,Information,
742695,13936.0,12527.46882,USA,United States,Ohio,1.061717835,0.0,0.77,0.32,Information,
742696,13937.0,8132.548058,USA,United States,Pennsylvania,0.217419096,0.0,0.77,0.32,Information,
742698,13939.0,19034.95111,USA,United States,West Virginia,0.795018412,0.0,0.77,0.32,Information,
742699,13940.0,30315.27364,USA,United States,Pennsylvania,0.963289396,0.0,0.77,0.32,Information,
742701,13941.0,1088.755083,USA,United States,Illinois,1.316536874,0.0,0.77,0.32,,
742703,13943.0,1035.706387,USA,United States,Missouri,0.685375215,0.0,0.77,0.32,Information,
742704,13944.0,6136.884803,USA,United States,Illinois,0.307320086,0.0,0.77,0.32,Information,
742705,13945.0,2566.621249,USA,United States,Missouri,1.141861466,0.0,0.77,0.32,Information,
742706,13946.0,15029.41963,USA,United States,Illinois,0.217989756,0.0,0.77,0.32,Information,
